Effect,EUT + PT,Neither,PT
Contrast_14_15,43.69987063389392,7.089262613195343,49.21086675291074
Contrast_12_13,47.657393850658856,8.272327964860908,44.07027818448023
Contrast_9_10,47.73060029282577,7.808687164470474,44.46071254270375
Contrast_5_6,39.58028306490971,2.8794533918984873,57.540263543191806
Contrast_4_11,53.757930697901415,5.563689604685212,40.67837969741338
Contrast_16_17,39.5070766227428,22.938018545632016,37.55490483162519
Contrast_6_10,47.12054660810151,15.080527086383603,37.79892630551488
Contrast_5_9,26.67154709614446,2.3670082967301123,70.96144460712543
Contrast_4_8,46.364080039043436,26.403123474865787,27.232796486090777
Contrast_3_7,24.792581747193754,4.343582235236701,70.86383601756955
Contrast_7_8,54.197169350902875,8.39433870180576,37.40849194729136
Contrast_3_4,53.70912640312348,3.9775500244021473,42.313323572474374
Contrast_1_2,48.12103465104929,7.784285017081503,44.094680331869206
